date,listing_id_encod,listing_id,reviewer_id,reviewer_name,comments,host_id,host_name,host_description,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2017-05-08,104,2122036,109824464,Graham,The host canceled this reservation 47 days before arrival. This is an automated posting.,10295304,Tina,"Modern home next to Stureplan One of the most central locations you can find with access to everything you need.<br />If you want to stay central, this is the place!<br />Just write me if you have any questions. <br />Welcome!<br />** I am sorry that I am unable to accept reservations less than 90 nights(3 months) stay**<br /><br /><b>The space</b><br />A very trendy apartment on the ground floor of the building.<br />One bedroom is with a large bed, size 160' perfect for two people and the other bedroom has a bed size of 120' (not comfortable for two). <br />Linens and towels are included.<br />WiFi available<br /><br /><b>Guest access</b><br />The livingroom and kitchen is in one big room and the kitchen has all the necessary things you need including microwave, dishwasher, toaster, coffeemaker etc.",Norrmalms,59.33819,18.06881,Entire home/apt,850.0,101,2020-09-17,0.92,0,4.84,4.9,4.96,4.95,4.97,4.87,4.8
2015-04-24,3,170651,486398,Mikko,The reservation was canceled 61 days before arrival. This is an automated posting.,814021,Marie,"Petit Charm Rooftop next to heaven My place is perfect for 1 person or mabey 2 if you are a couple..my bed have an madrass 1.60 on a bed that is 1.40..i know it’s weird<br />Could change in my text for some reason<br /><br /><b>The space</b><br />Welcome to this beautiful, small, and charming flat in one of the coolest areas in Stockholm. The house is situated in the western part of Södermalm. It is very close to cafés, restaurants, bars and also to the beach. It is walking distance to pretty much everywhere, but if you still want to take the tube, it is only 4 minutes by walk to the station ""Hornstull T-bana"".  <br /> <br />There is one and a half room in the apartment,  with two beds where 3-4 people can sleep. It is a perfect place if you are a couple or a small family! <br />The kitchen is fully equipped with stove, refrigerator and dishwasher. The bathroom has a bath tub. There is also a 7 meters terass with a beatiful view (top floor), where you can enjoy the sun during the summer.  <br /><br />There is a soffa in",Södermalms,59.31702,18.02946,Entire home/apt,1118.0,42,2022-10-02,0.3,3,4.68,4.84,4.55,4.89,4.92,4.84,4.74
2018-03-21,106,2176443,10021627,Vanessa,The host canceled this reservation 44 days before arrival. This is an automated posting.,3429907,Ella,"Trendy, cosy Stockholm: near to all Within 15 minute walk to anything within the Stockholm city center – my place in the heart of Södermalm, squeezed between SOFO and Hornstull, with plenty of nice areas. <br /><br />It is very easy to travel with communte train, bus or subway to all main stations such as: Arlanda/Stockholm Airport, Stockholm Fair, Stockholm City.<br /><br /><b>The space</b><br />In the heart of Södermalm, squeezed between SOFO and Hornstull, with plenty of nice areas, it is also amazingly EASY to travel to all main stations such as: Arlanda/Stockholm Airport, Stockholm Fair/ÄLVSJÖ, Stockholm City, etc. <br /><br />Enjoy central Stockholm at charming Mariatorget, in the very midst of Södermalm! You will find that the place is close to everything and placed at a calm and quite place.<br /><br />Direct communications to the Arlanda airport and the Stockholm Fair. <br /><br />A charmingly mixed, open minded, boheme chic and safe neighborhood - a perfect base to experience Stockholm, either for work or pleas",Södermalms,59.31691,18.06119,Private room,450.0,65,2023-02-04,0.58,3,4.59,4.63,4.59,4.67,4.79,4.84,4.54
2018-02-11,108,2241162,21386682,Wasana,The host canceled this reservation 85 days before arrival. This is an automated posting.,10152883,Martina,"Stylish flat in upscale city centre A charming and stylish 3 room apartment with perfect location. Fully equipped and newly renovated. Nice balcony facing lovely green inner yard where you also can chill out and barbecue. If you travel with small children we have toys and a baby crib.<br /><br /><b>The space</b><br />Very charming and cosy, yet very stylish apartment, fully equipped with kitchen utensils (blender, Nespresso machine, micro wave, dish washer etc) but also hairdryer, washer/drier, bicycles (2), free wifi.<br /><br /><b>Guest access</b><br />We will give you tip on where to go for restaurants, shopping, sightseeing. We have also put together a binder with all necessary information including maps.<br /><br /><b>Other things to note</b><br />Sheets and towels will be provided. Baby crib can be arranged upon request. Master bedroom has a queen size bed, 160 cm. In the second ""bed room"" the bed sofa measures 140 cm, 2 people can sleep.",Norrmalms,59.34772,18.06245,Entire home/apt,1600.0,12,2019-05-04,0.11,0,5.0,5.0,5.0,5.0,5.0,4.73,5.0
2014-03-30,109,2418718,11349176,Janne,The reservation was canceled 111 days before arrival. This is an automated posting.,6843582,Johanna,"Spacious four room appartment This 80 M2 3 bedroom appt. with 3,50 to ceiling, on a calm street, 15 min from the city with metro and 5 min walk to beaches, is a great place to spend time in. Works for at least 5 people. 3 bedrooms, open kitchen/ living room and a big balcony.<br /><br /><b>The space</b><br />The appartment's high ceiling and open spaces really makes this a super place to stay and hang out in. The house is a former school rebuilt to studio appartments, with only 2 floors, which makes the appartments very unique. We are on the 2nd floor. <br /><br />The balcony is big and cozy. <br /><br />You can easily fit 5 people comfortably but depending on your travel party, if there are couples, children etc, we can fit more. There is one double bed in my bedroom, one 120 CM bed in my sons bedroom, one 90 CM loft in a guestroom and a comfy sofa in the living room. <br /><br />There is floors heating, washing machine and bath tub in the bathroom.<br /><br /><b>Guest access</b><br />There is beddings for all bed",Skärholmens,59.30026,17.93944,Entire home/apt,1500.0,6,2014-08-15,0.05,0,4.25,4.75,4.0,5.0,4.5,4.5,4.5
2014-05-21,109,2418718,13177515,Geraldine,The reservation was canceled 7 days before arrival. This is an automated posting.,6843582,Johanna,"Spacious four room appartment This 80 M2 3 bedroom appt. with 3,50 to ceiling, on a calm street, 15 min from the city with metro and 5 min walk to beaches, is a great place to spend time in. Works for at least 5 people. 3 bedrooms, open kitchen/ living room and a big balcony.<br /><br /><b>The space</b><br />The appartment's high ceiling and open spaces really makes this a super place to stay and hang out in. The house is a former school rebuilt to studio appartments, with only 2 floors, which makes the appartments very unique. We are on the 2nd floor. <br /><br />The balcony is big and cozy. <br /><br />You can easily fit 5 people comfortably but depending on your travel party, if there are couples, children etc, we can fit more. There is one double bed in my bedroom, one 120 CM bed in my sons bedroom, one 90 CM loft in a guestroom and a comfy sofa in the living room. <br /><br />There is floors heating, washing machine and bath tub in the bathroom.<br /><br /><b>Guest access</b><br />There is beddings for all bed",Skärholmens,59.30026,17.93944,Entire home/apt,1500.0,6,2014-08-15,0.05,0,4.25,4.75,4.0,5.0,4.5,4.5,4.5
2018-06-06,111,2466035,98179315,Dmitrijs,The host canceled this reservation 5 days before arrival. This is an automated posting.,12608827,Anna,"Central lägenhet Fullt utrustad lägenhet med oslagbar utsikt över kungsholmsstrand. Sovrum med dubbelsäng och stor TV med DVD. Stor takterass med grillplats.<br /><br /><b>The space</b><br />Utsikten är fantastisk! Dessutom takterass med grillplats, Stockholms finaste tak.<br /><br /><b>Guest access</b><br />Kök med gasspis, TV, DVD, internet, takterass, tvättstuga.<br /><br /><b>Other things to note</b><br />Stockholms finaste takterass.",Kungsholmens,59.33677,18.0272,Entire home/apt,990.0,8,2018-09-16,0.08,0,4.43,4.57,4.0,4.71,4.86,4.86,4.29
2017-08-06,116,2589346,20271680,Johannes,The host canceled this reservation 3 days before arrival. This is an automated posting.,2203983,Annelie,"Close to city & nature. Calm area. Enjoy your stay in Stockholm in a large and light flat, close to the artyfarty discrict of Södermalm and with plenty of cafées, small book stores and restaurants close by. Great communications, but I really suggest you to go by bike where ever you go<br /><br /><b>Guest access</b><br />There is one very comfortable bed in the room and a matress can also be provided if you come two people. Hence: the price is per night and per person. You will have access to kitchen, bathroom and balcony.",Hägersten-Liljeholmens,59.3088,17.9891,Private room,395.0,13,2022-12-17,0.14,2,4.75,4.67,4.67,5.0,4.83,4.75,4.58
2016-09-29,117,2639392,33493674,Jessica,The host canceled this reservation 47 days before arrival. This is an automated posting.,3418393,Teresia,"Bright cozy room in Stockholm! I live in Gubbängen which is approximately 12 min by train to Södermalm, wich is the area where you find the cosiest restaurants and bars. It's only a 5 min walk to the meterostation.",Farsta,59.26278,18.07926,Entire home/apt,390.0,110,2022-09-24,1.05,10,4.81,4.86,4.72,4.94,4.91,4.68,4.86
2017-04-08,117,2639392,111881865,Sophia,The host canceled this reservation 38 days before arrival. This is an automated posting.,3418393,Teresia,"Bright cozy room in Stockholm! I live in Gubbängen which is approximately 12 min by train to Södermalm, wich is the area where you find the cosiest restaurants and bars. It's only a 5 min walk to the meterostation.",Farsta,59.26278,18.07926,Entire home/apt,390.0,110,2022-09-24,1.05,10,4.81,4.86,4.72,4.94,4.91,4.68,4.86
