id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_description
32984,53396,Chris,Kungsholmen,59.32779,18.04998,Entire home/apt,1350.0,24,2016-06-28,0.16,0,4.23,4.43,3.81,4.29,4.52,4.81,4.2,"City Hall, Stockholm <b>The space</b><br />Beautiful very bright 43 sqm 1-bedroom apartment steps from City Hall and the water, 10min walk to the Old Town. Every part of the city is accessible on foot from here within 20 minutes. 5minute walk to Central Station."
75590,397766,Peter,Skarpnäck,59.30117,18.12833,Entire home/apt,949.0,10,2016-07-08,0.09,0,4.8,5.0,4.89,4.89,5.0,4.78,4.78,"Amazing nature location by a lake Apartment on the top floor, overlooking a lake and forest, on the outskirts of Stockholm city! Go swimming right outside the door. Or take a 10 minute bus ride to Gamla stan. Also for long term rentals – included in the price is full cleaning service every 2 weeks!<br /><br /><b>The space</b><br />Apartment with balcony on the top floor, overlooking a lake and forest, on the outskirts of Stockholm city. <br /><br />The apartment and area is GREAT for families with kids. There's also a high quality baby bed available for you! For long term - Cleaners will come every 2 weeks to clean for you, included in your stay!<br /><br />Welcome!<br /><br />ABOUT THE APARTMENT<br /><br />The apartment has big windows and beautiful sunlight both mornings and evenings. Plus wonderful views. Open planning between (fully equipped) kitchen and livingroom. <br /><br />- Master bedroom with comfortable 160 cm bed<br />- Extra room with high quality 120 cm futon<br />- FREE every two weeks cleaners come and"
164448,784312,Li,Södermalm,59.31389,18.06087,Private room,800.0,358,2023-03-12,2.52,34,4.85,4.87,4.81,4.96,4.97,4.83,4.77,"Double room in central Stockholm with Wi-Fi I am renting out a nice double room on the top floor in a large duplex apartment in the center of Stockholm at Södermalm. Close to metro and bus and walking distance to most of the sights.<br /><br /><b>The space</b><br />ROOM:<br />The room has a twin/double bed (2x90x200cm, in the US it is usually called King Size), table, wardrobe and bookshelves. The bed linen and towels are included. <br /><br />The room is located on the top floor in the apartment, where the guests share a large TV-room. In the TV-room you can also find a micro, a fridge and a water kettle to make coffee and tea. <br /><br />There is one bathroom shared between the bedrooms on the upper floor. <br /><br />SÖDERMALM:<br />Södermalm has a lot of nice restaurants, pubs, cinema and shopping. From the apartment it takes a few mins walk to the trendy area of SOFO and 15 mins walk to the Old town (Gamla Stan).<br /><br />PUBLIC TRANSPORTATION:<br />- 7 mins walk to underground Mariatorget (red line) or Medborgarplatsen "
170651,814021,Marie,Södermalm,59.31702,18.02946,Entire home/apt,1118.0,42,2022-10-02,0.3,3,4.68,4.84,4.55,4.89,4.92,4.84,4.74,"Petit Charm Rooftop next to heaven My place is perfect for 1 person or mabey 2 if you are a couple..my bed have an madrass 1.60 on a bed that is 1.40..i know it’s weird<br />Could change in my text for some reason<br /><br /><b>The space</b><br />Welcome to this beautiful, small, and charming flat in one of the coolest areas in Stockholm. The house is situated in the western part of Södermalm. It is very close to cafés, restaurants, bars and also to the beach. It is walking distance to pretty much everywhere, but if you still want to take the tube, it is only 4 minutes by walk to the station ""Hornstull T-bana"".  <br /> <br />There is one and a half room in the apartment,  with two beds where 3-4 people can sleep. It is a perfect place if you are a couple or a small family! <br />The kitchen is fully equipped with stove, refrigerator and dishwasher. The bathroom has a bath tub. There is also a 7 meters terass with a beatiful view (top floor), where you can enjoy the sun during the summer.  <br /><br />There is a soffa in"
220851,412283,Fredric,Kungsholmen,59.33351,18.03693,Private room,450.0,59,2022-10-12,0.42,8,4.7,4.71,4.66,4.91,4.88,4.83,4.71,"One room in appartement Welcome!<br /><br /><b>The space</b><br />Welcome!<br /><br />One big bedroom ,quiet and clean !<br /><br />Kitchen,bathroom.<br /><br /><br /><br />Many restaurangs wery close and walkingdistance To city.<br /><br />3 min walk <br /><br />Kitchen,bathroom.<br /><br />Many restaurangs wery close and walkingdistance To city.<br /><br />3 min walk <br /><br />Kitchen,bathroom.<br /><br />Many restaurangs wery close and walkingdistance To city.<br /><br />3 min walk <br /><br />Kitchen,bathroom.<br /><br />Many restaurangs wery close and walkingdistance To city.<br /><br />3 min walk <br /><br />Kitchen,bathroom.<br /><br />Many restaurangs wery close and walkingdistance To city.<br /><br />3 min walk<br /><br /><b>Guest access</b><br />Kitchen,bathroom."
238411,1250232,Mia,Norrmalm,59.33872,18.05131,Entire home/apt,1246.0,111,2016-12-13,0.8,0,4.79,4.65,4.71,4.85,4.95,4.85,4.63,"Cozy apartment in central Stockholm <b>The space</b><br />This is a cozy, fully equipped self catering apartment located in a quiet backyard building in central Stockholm's most popular area ""Vasastan"". <br /><br />Ideal location for sightseeing. <br /><br />Very close to the Royal Institute of Technology, Stockholm School of Economics and the Stockholm Public Library. <br /><br />The subway is on the next block as well as many buses. <br />Airport bus from Stockholm Arlanda stops about three blocks away; a 5-10 minute walk. <br /><br />Four supermarkets are located within a couple of blocks. All are open until 10 or 11 pm. <br />There is a 7 Eleven convenience store one block away which is open 6 am to 2 am every day. <br />You can buy all types of local transportation tickets there as well as bicycle passes and the Stockholm tourist card.  <br />I suggest you get a 24 hour, 72 hour or 7 day unlimited subway/bus pass if you plan on using public transportation - it is very good value. Single tickets are expensive. <br />"
242188,784312,Li,Södermalm,59.31198,18.06076,Private room,680.0,357,2023-02-17,2.63,31,4.89,4.87,4.85,4.96,4.97,4.88,4.83,"Single room in central Stockholm with Wi-Fi I am renting out a nice single room on the top floor in a large duplex apartment in the center of Stockholm at Södermalm. (See my other ad if you would like to have a double room).<br /><br />Close to public transportation, old town, restaurants and bars.<br /><br /><b>The space</b><br />ROOM: <br />The room has a single bed (105x200cm), table, wardrobe and bookshelves. The bed linen and towels are included. The room is located on the top floor in the apartment, where the guests share a large TV-room. In the TV-room you can also find a micro, a fridge and a water kettle to make coffee and tea. There is one bathroom shared between the bedrooms on the upper floor. <br /><br />SÖDERMALM:<br />Södermalm has a lot of nice restaurants, pubs, cinema and shopping. From the apartment it takes a few mins walk to the trendy area of SOFO and 15 mins walk to the Old town (Gamla Stan).<br /><br />PUBLIC TRANSPORTATION:<br />- 7 mins walk to underground Mariatorget (red line) or Medborgarplatsen (gre"
299154,1541953,Daniel,Södermalm,59.31846,18.07042,Entire home/apt,1102.0,578,2023-01-29,4.85,29,4.63,4.74,4.37,4.91,4.95,4.96,4.58,"Cosy apartment central at Sodermalm Very centrally located small apartment at Slussen subway station. Apartment with bed space for four people, balcony with evening sun in summer. Fully equipped kitchen, bathroom with tub and shower, TV and fast WIFI. Note that check in is after 19.00 (7 PM) on weekdays and most weekend. Beacuse I work daytime. In summer time (mid july -- mid augusti) I can be more flexible. But I try also to be flexibel during other times also. Floors are clean but in bad shape. You need to clean after stay.<br /><br /><b>The space</b><br />An apartment with a bed and a sofa bed for a total of 4 people. A nice 140 centimeter bed with room for two people, and a sofa bed that is 140 cm wide where two people can sleep.<br /><br />Please note that the beds are in the same room. Can get hot to sleep 4 people summer nights, but I have a powerful fan. Large TV, with cable channels, and WIFI. Small dining area with table.<br /><br />Balcony with table and chairs so you can sit outside and eat in the summer. Nic"
299863,1322033,Anna,Hägersten-Liljeholmen,59.30318,17.99521,Entire home/apt,750.0,41,2023-03-13,0.3,4,4.57,4.43,4.51,4.66,4.76,4.27,4.41,"Playful temple with genuine meetings for big&small You are welcome to the big and bright room in my 2 room apartment with playing/sleeping corner in a hip residential area of Stockholm Hägersten just across the bridge from the Central Stockholm and 10 minutes from the Central Station by subway!<br /><br /><b>The space</b><br />The area is very green and quiet close to the water with the magnificent view over the Stockholm archipelago consisting of 14000 islands) but also within the few minutes walking to Konstfack, Hyper island digital leadership school, famous restaurants Landet by Telefonplan subway station, Svenska Sushiköket in Midsommarkranden, hip<br />Italian restaurant Furellios in the next building and a few bus stops to a big shopping mall by Liljeholmen.<br /><br />There is a bath tube in the bathroom and big spacious kitchen with refrigerator and oven and table for 4-6 persons. In the room the door a a playing corner with a kings size playing/sleeping madness and a couch that also can accommodate 2 ppl.<br /><br />Playing o"
301680,1554143,Anitta,Älvsjö,59.27635,17.99165,Private room,750.0,36,2022-04-29,0.28,1,4.61,4.47,4.72,4.66,4.53,4.44,4.59,"one cosy double room for rent there are several rooms in the house, the smallest for 300 (breakfast selfservice), the double room for 750,  if you get the bigger room for the lower price,breakfast is self-service. It means that there is coffee or tea, marmelade and bread for you.<br /><br /><b>The space</b><br />Your room is cosy and independent, with private shower during your stay and there is free access to internet. <br /><br />TV-room. Continental breakfast and lunch included, exception if reduced prices (in the wintertime) then there are no meals included but they can be bought for extra surcharge. Fresh linens and towels. Wireless internet. <br /><br />One or two people, min two nights max two weeks. We have been hosting people from allover the world since 1997, you are welcome! Do you wish to learn Swedish, we will teach you!<br /><br /><b>Guest access</b><br />A modern kitchen is available for cooking, dining room for having your meals. Parking is free outside on the street (quiet area). Washing maskin has"
